"Supplier Code","Address  Number","Check/  Itm Date","Alpha  Name","ADDRESS_LINE_1","ADDRESS_LINE_2","CITY","STATE_CODE","POSTAL_CODE","ELECTRONIC_ADDRESS_EAEMAL","PHONE_NUMBER","Invoice  Number","Invoice  Date","Due  Date","Payment Date","Payment Number","Check Amount","Gross Amount","Net Amount","Discount Amount"
8073,8073,20150730,"JODI RIVIERA INC","DBA RIVIERA VAN BEERS","414 Ash St.","MILL VALLEY","CA","94941-3913"," ","8262202","584 Q1 2015",20150414,20150430,20150730,33435,-1.65,.45,-.45,.00
8073,8073,20150730,"JODI RIVIERA INC","DBA RIVIERA VAN BEERS","414 Ash St.","MILL VALLEY","CA","94941-3913"," ","8262202","584 Q2 2015",20150714,20150730,20150730,33435,-1.65,1.20,-1.20,.00
9845,9845,20150730,"SUZANNE CRUISE CREATIVE SERVI","9222 Belinder","","Leawood","KS","66206"," ","258-4111","880 Q2 2015",20150714,20150730,20150730,33473,-1079.78,1079.78,-1079.78,.00
10174,10174,20150730,"NYK LINE NA INC","C/O NYK SERVICES NORTH AMERICA, INC.","1138 N. GERMANTOWN PARKWAY","CORDOVA","TN","38016"," ","6957447","010 2828810",20150515,20150624,20150730,33452,.00,2598.00,-2598.00,.00
10174,10174,20150730,"NYK LINE NA INC","C/O NYK SERVICES NORTH AMERICA, INC.","1138 N. GERMANTOWN PARKWAY","CORDOVA","TN","38016"," ","6957447","010 2864642",20150610,20150729,20150730,33452,.00,12714.00,-12714.00,.00
10174,10174,20150730,"NYK LINE NA INC","C/O NYK SERVICES NORTH AMERICA, INC.","1138 N. GERMANTOWN PARKWAY","CORDOVA","TN","38016"," ","6957447","010 2864646",20150610,20150729,20150730,33452,.00,3201.00,-3201.00,.00
13481,13481,20150730,"THYSSEN KRUPP ELEVATOR CORP"," P.O. BOX 933004","","ATLANTA","GA","31193-3004"," ","5043439","5000372387",20150715,20150715,20150730,33479,-1237.49,1237.49,-1237.49,.00
13527,13527,20150730,"AI FRIEDMAN"," P.O. BOX  28598","","NEW YORK","NY","10087-8598","frankb@aifriedman.com","9297320","1451670",20150629,20150729,20150730,33379,-379.68,185.58,-185.58,.00
13527,13527,20150730,"AI FRIEDMAN"," P.O. BOX  28598","","NEW YORK","NY","10087-8598","frankb@aifriedman.com","9297320","1451671",20150629,20150729,20150730,33379,-379.68,147.30,-147.30,.00
13527,13527,20150730,"AI FRIEDMAN"," P.O. BOX  28598","","NEW YORK","NY","10087-8598","frankb@aifriedman.com","9297320","1451672",20150629,20150729,20150730,33379,-379.68,46.80,-46.80,.00
